first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,value_per_m
Ryan,Trevitt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Igor Thiago,Nascimento Rodrigues,19,1,153,2652,40,305.6,852.8,989.0,19,619,214.5,8,0,6,36.2,73,FWD,21.0
Iwan,Morgan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44,FWD,0.0
Josh,Dasilva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Kaye,Furo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,FWD,0.0
Luka,Bentt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Ollie,Shield,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Joshua,Stephenson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Conor,McManus,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Jason,Steele,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,42,GK,0.0
Bart,Verbruggen,0,0,101,2790,37,10.0,766.0,0.0,4,504,77.7,7,0,3,6.3,45,GK,22.4
Tom,McGill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39,GK,0.0
Carl,Rushworth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Kjell,Scherpen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,0.0
Olivier,Boscagli,0,1,21,439,5,46.4,122.0,12.0,2,88,18.1,1,0,2,0.1,42,DEF,5.0
Diego,Coppola,0,0,10,193,3,3.7,42.4,2.0,0,32,4.8,1,0,2,0.0,42,DEF,2.4
Maxim,De Cuyper,2,0,61,1145,18,319.7,215.2,132.0,6,228,66.7,4,0,2,1.6,43,DEF,14.2
Lewis,Dunk,0,1,82,2565,35,108.6,573.4,154.0,3,389,83.8,6,0,10,1.0,45,DEF,18.2
Pervis,Estupiñán Tenorio,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,0.0
Ferdi,Kadıoğlu,0,2,86,2500,32,353.0,392.6,192.0,4,398,94.0,7,0,6,0.4,44,DEF,19.5
Igor Julio,dos Santos de Paulo,0,0,6,103,3,10.6,25.8,0.0,0,10,3.6,0,0,0,0.1,45,DEF,1.3
Tariq,Lamptey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44,DEF,0.0
Jan Paul,van Hecke,3,2,120,2580,35,186.8,827.6,242.0,8,465,126.0,7,0,7,6.2,45,DEF,26.7
Joël,Veltman,1,0,36,842,12,71.5,222.8,63.0,1,137,35.8,1,0,4,0.1,43,DEF,8.4
Adam,Webster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,DEF,0.0
Eiran,Cashin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
Jacob,Slater,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,DEF,0.0
Charlie,Tasker,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,38,DEF,0.0
Mitoma,Kaoru,2,1,51,1422,16,363.1,226.2,330.0,2,185,91.6,4,0,3,1.9,61,MID,8.4
Georginio,Rutter,2,4,70,1599,17,291.8,265.6,368.0,2,232,92.4,6,0,2,0.3,56,MID,12.5
Solly,March,0,0,1,4,0,0.0,0.0,0.0,0,4,0.0,0,0,0,0.0,58,MID,0.2
Yankuba,Minteh,2,8,95,1829,27,531.2,382.4,521.0,8,370,143.7,7,0,2,2.0,55,MID,17.3
Julio,Enciso Espínola,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Brajan,Gruda,1,1,35,708,11,217.1,134.4,152.0,2,114,50.0,2,0,2,0.0,54,MID,6.5
Jack,Hinshelwood,1,5,58,1170,17,160.7,182.6,229.0,2,206,56.9,3,0,0,0.1,51,MID,11.4
Matt,O'Riley,1,0,14,186,2,67.4,61.6,63.0,2,42,19.2,1,0,0,0.3,55,MID,2.5
Abdallah,Sima,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,MID,0.0
Yasin,Ayari,3,3,85,1720,21,225.4,314.6,219.0,7,359,76.1,5,0,1,0.4,48,MID,17.7
Carlos,Baleba,0,0,41,1275,17,92.9,100.0,29.0,0,155,22.2,4,0,5,1.5,45,MID,9.1
Diego,Gómez Amarilla,5,1,89,1928,25,310.2,430.2,386.0,9,350,112.8,7,0,9,0.5,49,MID,18.2
James,Milner,1,1,34,714,14,149.5,137.6,59.0,0,153,34.4,2,0,2,0.1,49,MID,6.9
Jeremy,Sarmiento Morante,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49,MID,0.0
Tom,Watson,0,0,5,57,2,2.4,6.0,7.0,0,15,1.6,0,0,1,0.0,48,MID,1.0
Mats,Wieffer,0,4,71,1569,20,265.8,371.4,175.0,3,314,81.3,5,0,7,0.1,49,MID,14.5
Malick,Yalcouyé,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,0.0
Joe,Knight,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.1,44,MID,0.2
Adrian,Mazilu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Andrew,Moran,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,MID,0.0
Danny,Welbeck,12,0,106,1817,22,273.1,490.2,576.0,17,430,133.3,7,0,5,5.7,62,FWD,17.1
Evan,Ferguson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,FWD,0.0
Stefanos,Tzimas,1,1,16,132,2,65.7,66.6,44.0,0,55,17.7,0,0,0,0.1,52,FWD,3.1
Charalampos,Kostoulas,2,1,30,292,7,80.0,129.6,192.0,3,117,40.1,1,0,2,0.3,48,FWD,6.2
Nehemiah,Oriola,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,MID,0.2
Freddie,Simmonds,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,DEF,0.0
